gm,Id,SS,tox,Vtgm
1.21E-04,1.78E-04,92.267,0.013,0.964
1.44E-04,1.91E-04,91.148,0.0101,1.099
1.47E-04,1.96E-04,91.22,0.0101,1.099
1.16E-04,1.44E-04,98.976,0.013,1.22
1.18E-04,1.47E-04,99.084,0.013,1.219
1.50E-04,2.25E-04,85.01,0.0101,0.892
1.53E-04,2.30E-04,85.396,0.0101,0.895
1.21E-04,1.78E-04,91.771,0.013,0.965
1.23E-04,1.82E-04,92.255,0.013,0.967
1.46E-04,1.95E-04,91.093,0.0101,1.103
1.49E-04,1.99E-04,91.166,0.0101,1.103
1.18E-04,1.47E-04,98.91,0.013,1.223
1.20E-04,1.50E-04,99.013,0.013,1.223
1.53E-04,2.29E-04,84.997,0.0101,0.896
1.55E-04,2.34E-04,85.38,0.0101,0.897
1.23E-04,1.81E-04,91.758,0.013,0.968
1.25E-04,1.85E-04,92.244,0.013,0.971
1.49E-04,1.98E-04,91.039,0.0101,1.107
1.52E-04,2.03E-04,91.114,0.0101,1.107
1.20E-04,1.49E-04,98.837,0.013,1.227
1.22E-04,1.52E-04,98.944,0.013,1.227
1.55E-04,2.33E-04,84.985,0.0101,0.898
1.58E-04,2.38E-04,85.37,0.0101,0.901
1.25E-04,1.84E-04,91.745,0.013,0.971
1.27E-04,1.88E-04,92.234,0.013,0.974
1.52E-04,2.01E-04,90.985,0.0101,1.111
1.54E-04,2.06E-04,91.063,0.0101,1.111
1.22E-04,1.52E-04,98.765,0.013,1.231
1.24E-04,1.55E-04,98.875,0.013,1.231
1.57E-04,2.37E-04,84.973,0.0101,0.901
1.60E-04,2.42E-04,85.361,0.0101,0.904
1.27E-04,1.87E-04,91.732,0.013,0.974
1.29E-04,1.91E-04,92.224,0.013,0.977
1.54E-04,2.05E-04,90.933,0.0101,1.114
1.57E-04,2.09E-04,91.018,0.0101,1.114
1.24E-04,1.54E-04,98.693,0.013,1.235
1.26E-04,1.57E-04,98.807,0.013,1.235
1.60E-04,2.41E-04,84.969,0.0101,0.905
1.63E-04,2.46E-04,85.352,0.0101,0.907
1.29E-04,1.90E-04,91.721,0.013,0.977
1.31E-04,1.93E-04,92.216,0.013,0.98
1.56E-04,2.08E-04,90.889,0.0101,1.117
1.59E-04,2.13E-04,90.969,0.0101,1.117
1.26E-04,1.56E-04,98.622,0.013,1.239
1.28E-04,1.59E-04,98.741,0.013,1.239
1.62E-04,2.44E-04,84.951,0.0101,0.908
1.65E-04,2.50E-04,85.349,0.0101,0.91
1.31E-04,1.92E-04,91.71,0.013,0.981
1.33E-04,1.96E-04,92.209,0.013,0.983
1.58E-04,2.11E-04,90.83,0.0101,1.121
1.61E-04,2.15E-04,90.921,0.0101,1.121
1.28E-04,1.58E-04,98.553,0.013,1.242
1.30E-04,1.61E-04,98.676,0.013,1.242
1.64E-04,2.48E-04,84.941,0.0101,0.911
1.67E-04,2.53E-04,85.336,0.0101,0.913
1.32E-04,1.95E-04,91.703,0.013,0.983
1.35E-04,1.99E-04,92.203,0.013,0.986
1.60E-04,2.14E-04,90.78,0.0101,1.124
1.63E-04,2.18E-04,90.874,0.0101,1.124
1.29E-04,1.60E-04,98.484,0.013,1.246
1.31E-04,1.63E-04,98.616,0.013,1.245
1.66E-04,2.51E-04,84.932,0.0101,0.914
1.69E-04,2.56E-04,85.33,0.0101,0.916
1.34E-04,1.97E-04,91.692,0.013,0.986
1.36E-04,2.01E-04,92.198,0.013,0.988
1.63E-04,2.17E-04,90.74,0.0101,1.128
1.65E-04,2.21E-04,90.828,0.0101,1.128
1.31E-04,1.62E-04,98.433,0.013,1.249
1.33E-04,1.65E-04,98.562,0.013,1.248
1.68E-04,2.55E-04,84.923,0.0101,0.916
1.71E-04,2.60E-04,85.325,0.0101,0.918
1.35E-04,2.00E-04,91.685,0.013,0.989
1.38E-04,2.03E-04,92.194,0.013,0.991
1.65E-04,2.19E-04,90.692,0.0101,1.131
1.67E-04,2.24E-04,90.782,0.0101,1.131
1.32E-04,1.64E-04,98.381,0.013,1.252
1.35E-04,1.67E-04,98.512,0.013,1.252
1.70E-04,2.58E-04,84.916,0.0101,0.918
1.73E-04,2.63E-04,85.319,0.0101,0.921
1.37E-04,2.02E-04,91.678,0.013,0.991
1.39E-04,2.05E-04,92.19,0.013,0.994
1.67E-04,2.22E-04,90.646,0.0101,1.134
1.69E-04,2.26E-04,90.738,0.0101,1.134
1.34E-04,1.65E-04,98.329,0.013,1.256
1.36E-04,1.68E-04,98.462,0.013,1.255
1.72E-04,2.61E-04,84.915,0.0101,0.921
1.74E-04,2.66E-04,85.314,0.0101,0.924
1.38E-04,2.04E-04,91.672,0.013,0.994
1.41E-04,2.08E-04,92.187,0.013,0.996
1.68E-04,2.24E-04,90.6,0.0101,1.137
1.71E-04,2.29E-04,90.698,0.0101,1.137
1.36E-04,1.67E-04,98.278,0.013,1.259
1.38E-04,1.70E-04,98.414,0.013,1.258
1.73E-04,2.64E-04,84.902,0.0101,0.924
1.76E-04,2.69E-04,85.31,0.0101,0.926
1.40E-04,2.06E-04,91.667,0.013,0.997
1.42E-04,2.10E-04,92.185,0.013,0.999
1.70E-04,2.27E-04,90.559,0.0101,1.14
1.73E-04,2.31E-04,90.656,0.0101,1.14
1.37E-04,1.68E-04,98.228,0.013,1.262
1.39E-04,1.71E-04,98.367,0.013,1.261
1.75E-04,2.66E-04,84.895,0.0101,0.926
1.78E-04,2.71E-04,85.307,0.0101,0.929
1.41E-04,2.08E-04,91.662,0.013,0.999
1.43E-04,2.12E-04,92.184,0.013,1.001
1.72E-04,2.29E-04,90.514,0.0101,1.143
1.75E-04,2.33E-04,90.614,0.0101,1.143
1.38E-04,1.70E-04,98.179,0.013,1.265
1.41E-04,1.73E-04,98.322,0.013,1.264
1.77E-04,2.69E-04,84.89,0.0101,0.929
1.79E-04,2.74E-04,85.304,0.0101,0.932
1.42E-04,2.10E-04,91.658,0.013,1.001
1.45E-04,2.13E-04,92.184,0.013,1.003
1.74E-04,2.31E-04,90.471,0.0101,1.146
1.76E-04,2.35E-04,90.573,0.0101,1.146
1.40E-04,1.71E-04,98.132,0.013,1.268
1.42E-04,1.74E-04,98.276,0.013,1.267
1.78E-04,2.72E-04,84.884,0.0101,0.931
1.81E-04,2.77E-04,85.301,0.0101,0.934
1.44E-04,2.12E-04,91.655,0.013,1.003
1.46E-04,2.15E-04,92.184,0.013,1.006
1.75E-04,2.33E-04,90.428,0.0101,1.149
1.78E-04,2.37E-04,90.533,0.0101,1.149
1.41E-04,1.73E-04,98.084,0.013,1.27
1.43E-04,1.75E-04,98.231,0.013,1.27
1.80E-04,2.74E-04,84.879,0.0101,0.934
1.82E-04,2.79E-04,85.299,0.0101,0.936
1.45E-04,2.14E-04,91.652,0.013,1.006
1.47E-04,2.17E-04,92.185,0.013,1.008
1.77E-04,2.35E-04,90.385,0.0101,1.152
1.80E-04,2.39E-04,90.493,0.0101,1.152
1.42E-04,1.74E-04,98.047,0.013,1.273
1.44E-04,1.77E-04,98.186,0.013,1.273
1.81E-04,2.77E-04,84.875,0.0101,0.936
1.84E-04,2.81E-04,85.298,0.0101,0.938
1.46E-04,2.15E-04,91.65,0.013,1.008
1.48E-04,2.19E-04,92.186,0.013,1.01
1.78E-04,2.37E-04,90.344,0.0101,1.154
1.81E-04,2.41E-04,90.454,0.0101,1.154
1.44E-04,1.75E-04,97.991,0.013,1.276
1.46E-04,1.78E-04,98.143,0.013,1.275
1.83E-04,2.79E-04,84.872,0.0101,0.938
1.85E-04,2.84E-04,85.296,0.0101,0.94
1.47E-04,2.17E-04,91.648,0.013,1.01
1.49E-04,2.20E-04,92.188,0.013,1.012
1.80E-04,2.39E-04,90.303,0.0101,1.157
1.83E-04,2.43E-04,90.419,0.0101,1.157
1.45E-04,1.76E-04,97.945,0.013,1.279
1.47E-04,1.79E-04,98.1,0.013,1.278
1.84E-04,2.81E-04,84.868,0.0101,0.94
1.87E-04,2.86E-04,85.295,0.0101,0.943
1.48E-04,2.19E-04,91.647,0.013,1.012
1.50E-04,2.22E-04,92.191,0.013,1.014
1.81E-04,2.40E-04,90.265,0.0101,1.159
1.84E-04,2.44E-04,90.381,0.0101,1.159
1.46E-04,1.77E-04,97.9,0.013,1.281
1.48E-04,1.80E-04,98.059,0.013,1.28
